advertiserId;programmeName;primarySector;subSectors;conversionRate;approvalRate;epc;launchDate;paymentStatus;paymentRiskLevel;awinIndex;feedEnabled;productReporting;commissionMin;commissionMax;leadMin;leadMax;cookieLength;parentSectors;;;averagePaymentTime
34015;Sony DE;Airlines;Credit Cards|Insurance|Savings & Investments|Loans|Mortgages|Personal Banking|Property|Audio Visual|Automotive|Books & Subscriptions|Childrenswear|Clothing|Clothing Accessories|Computers|Department Stores|DIY|Electronic Accessories|Electronic Superstore|Entertainment Superstore|FMCG|Furniture & Soft Furnishings|Gadgets|Gifts & Flowers|Green (Eco friendly)|Group Buying|Health & Beauty|Home & Garden|Jewellery|Lead Gen|Menswear|Music & DVD|Office Supplies|PC & Video Games|Pets & Pet Care|Photography|Photos & Print Services|Shoes|Sports Equipment|Sportswear|Toys & Games|White Goods|Wine Spirits & Tobacco|Womenswear|B2B Telecommunications Services|B2B Utility Services|Business Services (B2B)|Cable & Satellite Operators|Charities|Digital TV & Video-on-Demand|Education Training & Recruitment|Entertainment Downloads|Internet Service Provider|Lead Gen|Mobile Broadband|Mobile Downloads|Mobile Pay As You Go|Network Operators|Online Gaming|Software Downloads|Tickets|Utilities|Web Hosting|Airlines|Airport Parking & Transfers|Car Rental|Coaches|Cruises/Ferries|Hotels & Accommodation|Lead Gen|Local Holidays|Tourism & Attractions|Trains|Travel Agencies|Mobile Contract|Baby & Toddler;;0.00;0.00;2022-12-05;amber;exposurelevel2;;yes;no;0;0;0;0;30;Finance & Insurance|Retail & Shopping|Telco's & Services|Travel;;;null
14807;flug.idealo.de - DE;Airlines;Airlines;;0.00;0.00;2019-06-26;amber;exposurelevel2;;yes;no;0;0;0;0.27;30;Travel;;;58
20033;Wingly DE;Airlines;Airlines|Local Holidays|Tourism & Attractions;1.08699;50.53;0.16;2020-09-07;green;none;42.5108;yes;no;0;0;0;0;30;Travel;;;76
29865;Air Baltic DE;Airlines;Airlines;4.56433;100.00;0.20;2022-07-04;amber;exposurelevel2;83.5846;yes;no;0;0;0;0;30;Travel;;;72
22279;Sonova DE;Audio Visual;Audio Visual|Electronic Accessories|Electronic Superstore|Gadgets|Health & Beauty|Home & Garden|Lead Gen|Baby & Toddler;12.905;100.00;0.23;2021-05-12;amber;exposurelevel4;55.0228;yes;no;0;0;0;0;30;Retail & Shopping;;;157
19067;ONKYO DE;Audio Visual;Audio Visual;1.93854;86.59;0.97;2020-09-28;green;none;48.3326;yes;no;8;8;0;0;30;Retail & Shopping;;;83
25757;Vogel's DE;Audio Visual;Audio Visual;3.9696;78.05;0.56;2021-11-22;amber;exposurelevel2;56.4813;yes;no;0;0;0;0;30;Retail & Shopping;;;77
30687;Soundcore DE;Audio Visual;Audio Visual|Electronic Accessories|Gifts & Flowers;6.04391;100.00;0.54;2022-07-25;amber;exposurelevel2;67.765;yes;yes;0;0;0;0;30;Retail & Shopping;;;69
14698;hm-sat.de - Heimkino- und Satelliten-Technik DE;Audio Visual;Audio Visual|Electronic Accessories|Electronic Superstore|Entertainment Superstore|Erotic|Home & Garden;3.14778;100.00;0.14;2019-07-10;green;none;48.162;yes;no;0;0;0;5;30;Retail & Shopping;;;91
22988;Reifen24 DE;Automotive;Automotive;2.33351;93.39;0.32;2021-04-15;amber;exposurelevel5;71.7256;yes;no;0;0;0;0;30;Retail & Shopping;;;49
7605;Reifen.com;Automotive;Audio Visual|Automotive;5.22875;92.68;0.79;2019-01-15;amber;exposurelevel6;57.6798;yes;no;3;3;0;0;30;Retail & Shopping;;;84
13666;Schildershop24 DE;Automotive;Automotive|Furniture & Soft Furnishings|Office Supplies;4.90554;96.18;0.11;2020-01-08;amber;exposurelevel5;67.5319;yes;no;10;10;0;0;30;Retail & Shopping;;;71
14363;Euromaster DE;Automotive;Automotive;;0.00;0.00;2019-06-26;green;none;;yes;no;3;10;0;0;60;Retail & Shopping;;;119
17146;Tyrigo DE;Automotive;Automotive;0.406465;64.71;0.02;2019-05-15;green;none;56.193;yes;no;3;3;0;0;30;Retail & Shopping;;;50
10747;ReifenDirekt EE;Automotive;Automotive;18.3477;52.34;2.56;2020-06-05;amber;exposurelevel4;55.8108;yes;no;0;0;0;0;30;Retail & Shopping;;;165
25612;instamotion DE;Automotive;Automotive;0.252834;3.33;0.51;2021-11-12;green;none;37.1367;yes;no;0;0;0;0;30;Retail & Shopping;;;27
13928;kfzteile24 DE;Automotive;Automotive|Electronic Accessories;;0.00;0.00;2019-08-22;amber;exposurelevel5;;yes;no;4;6;0;0;30;Retail & Shopping;;;134
14800;Goodwheel DE;Automotive;Automotive;1.74756;93.84;0.16;2019-04-16;green;none;71.3232;yes;no;3;5;0;0;30;Retail & Shopping;;;48
11823;ReifenDirekt.de;Automotive;Automotive;7.20605;84.30;0.87;2018-01-30;green;none;59.2276;yes;no;2;3;0;0;30;Retail & Shopping;;;62
16915;mobilityhouse DE;Automotive;Automotive|Electronic Accessories|Green (Eco friendly);0.723911;90.27;0.17;2019-07-31;green;none;41.3634;yes;no;3;3;0;0;30;Retail & Shopping;;;122
17966;Care by Volvo DE;Automotive;Automotive|Lead Gen|Business Services (B2B)|Utilities|Car Rental;0.266786;64.71;1.33;2020-02-04;amber;exposurelevel2;59.5178;yes;no;0;0;500;500;30;Retail & Shopping|Telco's & Services|Travel;;;58
20355;Nova Motors DE;Automotive;Automotive|Green (Eco friendly)|Home & Garden;1.57484;57.56;0.16;2020-09-29;green;none;28.8271;yes;no;0;0;0;0;30;Retail & Shopping;;;92
21213;Autohaus Tabor DE;Automotive;Automotive;0.979289;59.62;0.24;2021-01-12;green;none;49.1658;yes;no;0;0;0;0;30;Retail & Shopping;;;79
14188;Rameder DE;Automotive;Automotive;5.7147;97.83;0.54;2019-09-16;green;none;49.7908;yes;no;4;4;0;0;60;Retail & Shopping;;;108
11475;Polo-motorrad DE;Automotive;Automotive;4.4007;89.25;0.13;2018-04-19;green;none;56.5779;yes;no;1;4;0;0;60;Retail & Shopping;;;61
11724;Gripgate DE;Automotive;Automotive|Department Stores|FMCG;1.48203;98.96;0.21;2018-06-26;green;none;46.0341;yes;no;3;3;0;0;30;Retail & Shopping;;;82
13763;Tirendo DE;Automotive;Automotive;3.18603;69.34;0.48;2019-09-13;amber;exposurelevel2;47.7687;yes;no;3;3;0;0;30;Retail & Shopping;;;87
13940;Motointegrator DE;Automotive;Automotive;1.14134;39.06;0.13;2019-04-10;green;none;18.732;yes;no;3;7;0;0;30;Retail & Shopping;;;141
14429;Vergölst DE;Automotive;Automotive|Lead Gen;;0.00;0.00;2019-08-27;green;none;;yes;no;3.5;7;3;5;30;Retail & Shopping;;;118
20228;ATP Autoteile DE;Automotive;Automotive;4.93796;93.02;0.13;2020-07-22;amber;exposurelevel5;58.1438;yes;no;0;0;0;0;30;Retail & Shopping;;;65
10444;Autodoc DE;Automotive;Automotive|Electronic Accessories;2.00758;99.81;0.10;2019-05-01;amber;exposurelevel4;46.9329;yes;no;4;8;0;0;30;Retail & Shopping;;;null
10719;reifen DE;Automotive;Automotive;20.7469;99.44;0.29;2019-09-13;amber;exposurelevel2;94.1089;yes;no;4;4;0.16;0.16;30;Retail & Shopping;;;121
14475;teilehaber DE;Automotive;Automotive;3.51964;92.91;0.04;2019-08-20;green;none;64.6686;yes;no;3;3;0;0;30;Retail & Shopping;;;59
14543;Reifen-Pneus-online DE;Automotive;Automotive;0.918884;86.78;0.09;2019-08-13;amber;exposurelevel2;49.314;yes;no;3;3;0;0;60;Retail & Shopping;;;80
16934;moto24 DE;Automotive;Automotive|Clothing;1.20919;100.00;0.03;2019-09-16;green;none;65.5455;yes;no;7;7;0;0;2;Retail & Shopping;;;64
22511;MeinAuto DE;Automotive;Automotive;1.10152;100.00;0.12;2021-05-25;amber;exposurelevel6;66.1137;yes;no;0;0;0;0;365;Retail & Shopping;;;77
17382;Bmw-Motorrad-Bohling.com DE;Automotive;Automotive;1.93279;100.00;0.27;2019-11-19;amber;exposurelevel1;66.2929;yes;no;5;5;0;0;2;Retail & Shopping;;;80
14701;Reifentiefpreis DE;Automotive;Automotive;3.45731;77.95;0.17;2019-09-24;amber;exposurelevel2;65.2182;yes;no;3;4;0;0;60;Retail & Shopping;;;93
20303;Null-Leasing DE;Automotive;Automotive;0.380421;84.27;0.02;2020-10-27;green;none;50.3021;yes;no;0;0;0;0;30;Retail & Shopping;;;73
11347;Motea DE;Automotive;Automotive;2.17189;76.99;0.12;2018-11-13;amber;exposurelevel2;46.1636;yes;no;4;4;0;0;30;Retail & Shopping;;;117
12634;Autoersatzteile DE;Automotive;Automotive|Electronic Accessories;;0.00;0.00;2018-06-21;amber;exposurelevel4;;yes;no;1;8;0;0;30;Retail & Shopping;;;null
9352;Giga Tyres EU;Automotive;Automotive|Home & Garden;4.17278;85.18;0.24;2020-02-10;amber;exposurelevel2;57.1934;yes;no;3;4;0;0;30;Retail & Shopping;;;99
